dataset,populationSize,numGenerations,numFeatures,avgNumSize2ShapeletsInEvolved,tournamentSize,tournamentP,epsilon,evolvedRFAccuracy,exhaustiveRFAccuracy,avgEvolvedTime,avgExhaustiveTime
AUSLAN2,500,200,75,75.0,2,1.0,5,0.45,0.0,1.0957788464E9,1.0957788464E9
PIONEER,500,200,75,75.0,2,1.0,5,0.95625,0.0,2.1398942094E9,2.1398942094E9
HEPATITIS,500,200,75,75.0,2,1.0,5,0.7711836734693878,0.0,3.38104595467E11,3.38104595467E11
CONTEXT,500,200,75,75.0,2,1.0,5,0.975,0.0,2.2302790944E10,2.2302790944E10
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,3.664676017E8,3.664676017E8
SKATING,500,200,75,75.0,2,1.0,5,0.879245283018868,0.0,5.53312033207E10,5.53312033207E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.395,0.0,3.0570044409E9,3.0570044409E9
AUSLAN2,500,200,75,400.0,2,1.0,5,0.41,0.0,4.6706517949E9,4.6706517949E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.475,0.0,2.0985159472E9,2.0985159472E9
PIONEER,500,200,75,75.0,2,1.0,5,0.96875,0.0,2.18507179067E10,2.18507179067E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.45999999999999996,0.0,1.7419943364E9,1.7419943364E9
PIONEER,500,200,75,75.0,2,1.0,5,0.96875,0.0,1.2242711246E9,1.2242711246E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.47000000000000003,0.0,1.9624372157E9,1.9624372157E9
PIONEER,500,200,75,75.0,2,1.0,5,0.98125,0.0,1.8892706961E9,1.8892706961E9
HEPATITIS,500,200,75,75.0,2,1.0,5,0.7932653061224489,0.0,1.93305047787E10,1.93305047787E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.485,0.0,1.8103264587E9,1.8103264587E9
PIONEER,500,200,75,75.0,2,1.0,5,1.0,0.0,1.6658930454E9,1.6658930454E9
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8034285714285714,0.0,1.57650941865E10,1.57650941865E10
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,4.769729261E9,4.769729261E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,3.0831105872E9,3.0831105872E9
SKATING,500,200,75,75.0,2,1.0,5,0.960377358490566,0.0,2.39876048761E10,2.39876048761E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.49000000000000005,0.0,1.8876067747E9,1.8876067747E9
PIONEER,500,200,75,75.0,2,1.0,5,0.9875,0.0,1.6712675309E9,1.6712675309E9
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8093061224489796,0.0,1.91943746344E10,1.91943746344E10
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,6.016114034E9,6.016114034E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,1.9571965243E9,1.9571965243E9
SKATING,500,200,75,75.0,2,1.0,5,0.9754716981132076,0.0,2.90626423479E10,2.90626423479E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.485,0.0,2.4955516991E9,2.4955516991E9
PIONEER,500,200,75,75.0,2,1.0,5,0.99375,0.0,2.9754356859E9,2.9754356859E9
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8053877551020407,0.0,2.7407482167E10,2.7407482167E10
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,9.125474731E9,9.125474731E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,5.8912432094E9,5.8912432094E9
SKATING,500,200,75,75.0,2,1.0,5,0.9622641509433961,0.0,4.37101840952E10,4.37101840952E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.465,0.0,1.7130540411E9,1.7130540411E9
PIONEER,500,200,75,75.0,2,1.0,5,0.9875,0.0,9.394354962E8,9.394354962E8
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8194285714285714,0.0,1.10488520933E10,1.10488520933E10
CONTEXT,500,200,75,75.0,2,1.0,5,0.9916666666666668,0.0,4.1008045911E9,4.1008045911E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,1.0823754934E9,1.0823754934E9
SKATING,500,200,75,75.0,2,1.0,5,0.9622641509433961,0.0,6.0889193704E9,6.0889193704E9
ASL-BU,500,200,75,75.0,2,1.0,5,0.869982993197279,0.0,7.0795084149E9,7.0795084149E9
ASL-BU-2,500,200,75,75.0,2,1.0,5,0.7898380355276907,0.0,1.3581991893E10,1.3581991893E10
ASL-BU,500,200,75,75.0,2,1.0,5,0.8679846938775511,0.0,1.79897777448E10,1.79897777448E10
ASL-BU,500,200,75,75.0,2,1.0,5,0.8803146258503401,0.0,6.89160762542E10,6.89160762542E10
ASL-BU-2,500,200,75,75.0,2,1.0,5,0.8082419017763846,0.0,1.425819090287E11,1.425819090287E11
AUSLAN2,500,200,75,75.0,2,1.0,5,0.495,0.0,2.30517470328E10,2.30517470328E10
PIONEER,500,200,75,75.0,2,1.0,5,0.99375,0.0,2.29888645852E10,2.29888645852E10
